"","callPrice","putPrice","BSMcall","BSMput","strike","expiryDate","X","callD","putD","leftside","rightside","parity","PdiffParity"
"2207",372.7,137.65,234.995833970343,8.22244323774409e-20,3025,2021-03-19,4350,137.704166029657,137.65,3236.78024003257,3221.63205987985,15.1481801527175,0.00468001502399343
"2208",354.85,144.05,210.555668726516,7.6904242167333e-16,3050,2021-03-19,4351,144.294331273484,144.05,3242.60032466094,3228.03205987985,14.5682647810859,0.00449277225758904
"2209",337,150.65,186.115503482692,2.40347673196967e-12,3075,2021-03-19,4352,150.884496517308,150.649999999998,3248.4204092893,3234.63205987985,13.7883494094544,0.00424463205871529
"2210",319.4,157.55,161.675338241445,2.58226816940342e-09,3100,2021-03-19,4353,157.724661758555,157.549999997418,3254.49049391767,3241.53205987985,12.9584340378228,0.00398170898395337
"2211",302.05,164.7,137.235173977204,9.82167898071882e-07,3125,2021-03-19,4354,164.814826022796,164.699999017832,3260.81057854604,3248.68205987985,12.1285186661912,0.00371947967354767
"2212",285.1,172.1,112.795144304448,0.000136553239037853,3150,2021-03-19,4355,172.304855695552,172.099863446761,3267.53066317441,3256.08205987985,11.4486032945592,0.00350374777613775
"2213",268.35,179.8,88.3620536219523,0.00721111457102974,3175,2021-03-19,4356,179.987946378048,179.792788885429,3274.45074780278,3263.78205987985,10.6686879229273,0.00325816106108368
"2214",251.85,187.8,64.0671346547811,0.152457391226108,3200,2021-03-19,4357,187.782865345219,187.647542608774,3281.62083243115,3271.78205987985,9.83877255129573,0.00299814422618923
"2215",235.85,196.15,40.8769138022008,1.40240178247251,3225,2021-03-19,4358,194.973086197799,194.747598217527,3289.29091705951,3280.13205987985,9.15885717966421,0.00278444728988941
"2216",220,204.85,21.4744191370869,6.44007236118603,3250,2021-03-19,4359,198.525580862913,198.409927638814,3297.11100168788,3288.83205987985,8.27894180803287,0.0025109684823455
"2217",204.7,213.9,8.49242562881318,17.8982440967388,3275,2021-03-19,4360,196.207574371187,196.001755903261,3305.48108631625,3297.88205987985,7.59902643640089,0.00229891693159543
"2218",189.85,223.45,2.17973247376483,36.025716185517,3300,2021-03-19,4361,187.670267526235,187.424283814483,3314.30117094462,3307.43205987985,6.86911106476964,0.00207256694864934
"2219",175.4,233.5,0.307454642912489,58.5936035984919,3325,2021-03-19,4362,175.092545357087,174.906396401508,3323.52125557299,3317.48205987985,6.03919569313757,0.00181710758822765
"2220",161.45,243.95,0.0213191011527969,82.7476333005588,3350,2021-03-19,4363,161.428680898847,161.202366699441,3333.24134020136,3327.93205987985,5.30928032150587,0.00159282805522421
"2221",148,254.95,0.000690631892878893,107.167170075126,3375,2021-03-19,4364,147.999309368107,147.782829924874,3343.46142482972,3338.93205987985,4.52936494987443,0.00135469334751039
"2222",135.1,266.5,1.02918455183989e-05,131.606654978905,3400,2021-03-19,4365,135.099989708155,134.893345021095,3354.23150945809,3350.48205987985,3.74944957824255,0.00111782671162382
"2223",122.85,278.75,7.06524977889739e-08,156.04681000154,3425,2021-03-19,4366,122.849999929347,122.70318999846,3365.65159408646,3362.73205987985,2.91953420661093,0.000867449920170178
"2224",111.15,291.55,2.25470720124156e-10,180.486975174939,3450,2021-03-19,4367,111.149999999775,111.063024825061,3377.62167871483,3375.53205987985,2.08961883497977,0.000618665745825881
"2225",100.15,304.9,3.38701487437875e-13,204.927140418541,3475,2021-03-19,4368,100.15,99.9728595814594,3390.2917633432,3388.88205987985,1.4097034633478,0.000415805942895509
"2226",89.8,318.9,2.42887463955536e-16,229.367305662367,3500,2021-03-19,4369,89.8,89.532694337633,3403.61184797157,3402.88205987985,0.729788091716273,0.000214415780739276
"2227",80,333.65,8.43755430800859e-20,253.807470906194,3525,2021-03-19,4370,80,79.8425290938061,3417.48193259993,3417.63205987985,-0.150127279915978,-4.39292095398921e-05
"2228",70.9,349.05,1.44106859172116e-23,278.247636150021,3550,2021-03-19,4371,70.9,70.8023638499792,3432.0520172283,3433.03205987985,-0.980042651547137,-0.000285555885116978
"2229",62.6,364.95,1.22804173386339e-27,302.687801393848,3575,2021-03-19,4372,62.6,62.2621986061524,3447.42210185667,3448.93205987985,-1.50995802317902,-0.000437996270420674
"2230",55,381.75,5.29814569039581e-32,327.127966637674,3600,2021-03-19,4373,55,54.6220333623255,3463.49218648504,3465.73205987985,-2.23987339481073,-0.000646709527323602
"2231",48.1,399.25,1.17389417679153e-36,351.568131881501,3625,2021-03-19,4374,48.1,47.6818681184986,3480.26227111341,3483.23205987985,-2.96978876644243,-0.000853323265632029
"2232",41.95,417.85,1.35461438819972e-41,376.008297125328,3650,2021-03-19,4375,41.95,41.8417028746718,3497.78235574178,3501.83205987985,-4.04970413807405,-0.00115779191676299
"2233",31.65,456.15,2.69105110572439e-52,424.888627612982,3700,2021-03-19,4376,31.65,31.261372387018,3534.82252499851,3540.13205987985,-5.30953488133719,-0.00150206547677791
"2234",23.85,497.3,4.61817426933862e-64,473.768958100636,3750,2021-03-19,4377,23.85,23.5310418993643,3574.36269425525,3581.28205987985,-6.91936562460114,-0.00193583198362103
"2235",18.05,540.3,7.57447652107937e-77,522.649288588289,3800,2021-03-19,4378,18.05,17.6507114117105,3615.90286351199,3624.28205987985,-8.37919636786364,-0.00231731788273904
"2236",10.6,632.45,2.60283183090348e-105,620.409949563597,3900,2021-03-19,4379,10.6,12.0400504364031,3703.13320202546,3716.43205987985,-13.2988578543909,-0.00359124479970556
"2237",6.45,726,2.23731120037433e-137,718.170610538904,4000,2021-03-19,4380,6.45,7.82938946109562,3793.66354053893,3809.98205987985,-16.3185193409176,-0.00430151993357835
"2238",4,821.65,9.23261916281998e-173,815.931271514211,4100,2021-03-19,4381,4,5.71872848578857,3885.89387905241,3905.63205987985,-19.738180827444,-0.00507944412322893
"2239",2.6,917.85,3.31113354496124e-211,913.691932489519,4200,2021-03-19,4382,2.6,4.15806751048069,3979.17421756588,4001.83205987985,-22.6578423139708,-0.00569410663497689
"2240",1.775,1013.45,1.77300979025603e-252,1011.45259346483,4300,2021-03-19,4383,1.775,1.99740653517324,4073.02955607935,4097.43205987985,-24.4025038004975,-0.00599124152292845
"2241",1.275,1110.65,2.32396668668426e-296,1109.21325444013,4400,2021-03-19,4384,1.275,1.43674555986672,4167.20989459283,4194.63205987985,-27.4221652870247,-0.0065804617431453
"2242",0.925,1208.05,0,1206.97391541544,4500,2021-03-19,4385,0.925,1.07608458455934,4261.5402331063,4292.03205987985,-30.4918267735502,-0.0071551188316071
"2243",0.675,1305.55,0,1304.73457639075,4600,2021-03-19,4386,0.675,0.815423609251866,4355.97057161977,4389.53205987985,-33.5614882600767,-0.00770470959531684
"2244",0.525,1403.2,0,1402.49523736606,4700,2021-03-19,4387,0.525,0.704762633944028,4450.50091013325,4487.18205987985,-36.6811497466042,-0.00824202724306509
"2245",2010.45,1.8,2009.36186477519,0,1200,2021-06-18,4488,1.08813522481159,1.8,3146.61406216168,3085.78205987985,60.8320022818293,0.0193325273071584
"2246",1913.35,2.4,1912.01095487996,0,1300,2021-06-18,4489,1.33904512003733,2.4,3144.19440067515,3086.38205987985,57.8123407953026,0.0183870121971111
"2247",1865.1,2.725,1863.33549993235,0,1350,2021-06-18,4490,1.76450006765026,2.725,3143.28456993189,3086.70705987985,56.5775100520395,0.0179994870948848
"2248",1816.7,3.225,1814.66004498474,0,1400,2021-06-18,4491,2.03995501526288,3.225,3142.22473918863,3087.20705987985,55.0176793087762,0.0175091484140573
"2249",1769,3.7,1765.98459003712,0,1450,2021-06-18,4492,3.01540996287599,3.7,3141.86490844536,3087.68205987985,54.1828485655133,0.0172454418456596
"2250",1744.55,4,1741.64686256332,0,1475,2021-06-18,4493,2.90313743668253,4,3141.08499307373,3087.98205987985,53.1029331938812,0.0169059205054865
"2251",1721.85,4.3,1717.30913508951,0,1500,2021-06-18,4494,4.54086491048861,4.3,3142.0550777021,3088.28205987985,53.7730178222496,0.017113964107076
"2252",1697.85,4.6,1692.9714076157,0,1525,2021-06-18,4495,4.87859238429496,4.6,3141.72516233047,3088.58205987985,53.1431024506182,0.016915261426368
"2253",1673.3,4.95,1668.6336801419,0,1550,2021-06-18,4496,4.66631985810159,4.95,3140.84524695884,3088.93205987985,51.9131870789865,0.0165284128943482
"2254",1649.95,5.3,1644.29595266809,0,1575,2021-06-18,4497,5.65404733190803,5.3,3141.1653315872,3089.28205987985,51.8832717073542,0.0165172049957453
"2255",1626,5.7,1619.95822519429,0,1600,2021-06-18,4498,6.04177480571434,5.7,3140.88541621557,3089.68205987985,51.2033563357231,0.0163022044902923
"2256",1602.1,6.2,1595.62049772048,0,1625,2021-06-18,4499,6.4795022795206,6.2,3140.65550084394,3090.18205987985,50.4734409640914,0.0160709893047895
"2257",1578.25,6.6,1571.28277024667,0,1650,2021-06-18,4500,6.96722975332705,6.6,3140.47558547231,3090.58205987985,49.8935255924598,0.0158872515434493
"2258",1554.4,7.1,1546.94504277287,0,1675,2021-06-18,4501,7.45495722713372,7.1,3140.29567010068,3091.08205987985,49.2136102208278,0.0156716485932836
"2259",1530.6,7.7,1522.60731529906,0,1700,2021-06-18,4502,7.99268470093989,7.7,3140.16575472905,3091.68205987985,48.4836948491961,0.0154398521085011
"2260",1506.85,8.2,1498.26958782525,0,1725,2021-06-18,4503,8.58041217474624,8.2,3140.08583935741,3092.18205987985,47.9037794775645,0.0152555636782743
"2261",1483.1,8.85,1473.93186035145,0,1750,2021-06-18,4504,9.1681396485526,8.85,3140.00592398578,3092.83205987985,47.1738641059328,0.0150234952569938
"2262",1459.45,9.5,1449.59413287764,0,1775,2021-06-18,4505,9.85586712235909,9.5,3140.02600861415,3093.48205987985,46.543948734301,0.0148227908325011
"2263",1435.8,10.2,1425.25640540383,0,1800,2021-06-18,4506,10.5435945961656,10.2,3140.04609324252,3094.18205987985,45.8640333626695,0.0146061656423994
"2264",1412.2,10.9,1400.91867793003,0,1825,2021-06-18,4507,11.281322069972,10.9,3140.11617787089,3094.88205987985,45.2341179910381,0.014405237076836
"2265",1388.65,11.7,1376.58095045622,0,1850,2021-06-18,4508,12.0690495437784,11.7,3140.23626249926,3095.68205987985,44.5542026194066,0.0141881689449528
"2266",1365.15,12.55,1352.24322298242,0,1875,2021-06-18,4509,12.9067770175848,12.55,3140.40634712762,3096.53205987985,43.8742872477746,0.0139708949728446
"2267",1341.75,13.15,1327.90549550861,0,1900,2021-06-18,4510,13.8445044913913,13.15,3140.67643175599,3097.13205987985,43.5443718761426,0.0138646475758715
"2268",1318.35,14.4,1303.5677680348,0,1925,2021-06-18,4511,14.7822319651975,14.4,3140.94651638436,3098.38205987985,42.5644565045113,0.0135514744623887
"2269",1295.05,15.4,1279.230040561,0,1950,2021-06-18,4512,15.8199594390042,15.4,3141.31660101273,3099.38205987985,41.9345411328795,0.0133493520262683
"2270",1271.75,16.5,1254.89231308719,0,1975,2021-06-18,4513,16.8576869128103,16.5,3141.6866856411,3100.48205987985,41.2046257612478,0.0131154471735107
"2271",1248.6,17.65,1230.55458561338,0,2000,2021-06-18,4514,18.0454143866168,17.65,3142.20677026947,3101.63205987985,40.574710389616,0.0129128072581094
"2272",1225.5,18.85,1206.21685813958,0,2025,2021-06-18,4515,19.2831418604233,18.85,3142.77685489783,3102.83205987985,39.9447950179847,0.0127100321983513
"2273",1202.4,20.15,1181.87913066577,0,2050,2021-06-18,4516,20.5208693342297,20.15,3143.3469395262,3104.13205987985,39.214879646353,0.0124755174661897
"2274",1179.05,21.55,1157.54140319196,0,2075,2021-06-18,4517,21.5085968080361,21.55,3143.66702415457,3105.53205987985,38.1349642747214,0.0121307263083873
"2275",1156.6,22.95,1133.20367571816,0,2100,2021-06-18,4518,23.3963242818422,22.95,3144.88710878294,3106.93205987985,37.9550489030894,0.0120688112451127
